title,content,tokens
Page 69,"Grade 3 2021 Alabama Course of Study: English Language Arts 58 READING LISTENING WRITING SPEAKING Phonics 8.Apply knowledge of phoneme-grapheme correspondences, multisyllabic word construction, and syllable division principles to decode and encode (spell) words accurately in isolation and in context. a.Decode multisyllabic words with common syllable patterns, including open/closed, vowel-r , vowel-consonant-e, vowel teams, consonant-le, and odd or schwa syllables. b.Apply knowledge of multisyllabic word construction and syllable division principles to decode grade-appropriate multisyllabic words. Examples: VC/CV , V/CV , VC/V , CV/VC; com-mit-ment, e-vent, ev-er -y, po-et c.Decode and encode words with three-consonant blends, digraphs, trigraphs, quadrigraph eigh , combinations, diphthongs, and silent letter combinations. Examples: spl-, str-, scr-, squ-; th, sh, ch, ck, ph; tch, dge, igh; er, ir, ar, or; oi, oy, ou, ow; kn, gn, mb, wr, gh d.Decode and encode words with graphemes that represent multiple sound-symbol correspondences by applying knowledge of most common to least common frequency . Examples : y can be read /y/ in yet, /ē/ in candy , /ī/ in fly digraph ch can be read /ch/ in chair , /sh/ in chef, and /k/ in school diphthong ow is rea d /ou/ in cow, but digraph ow is read /ō/ in snow e.Decode and encode multisyllabic words using knowledge of stress or accent to pronounce a word correctly , including the schwa sound when appropriate. Examples: the noun con´/vict vs. the verb con/vict ´; the noun pro´/duce vs. the verb pro/duce ´ f.Decode and encode words using knowledge of the morphological structure of a word, including prefixes, suffixes, and roots. Examples: fore-, anti-, post-, sub-; -ment, -hood, -er, -or; port, ject, form, dict g.Decode and encode contractions with am, is, has, not, have, would, and will . Examples: I’m, he’s, she’s, isn’t, don’t, I’ve, he’d, they’ll",582
Page 70,"Grade 3 2021 Alabama Course of Study: English Language Arts 59 Standar d 8 continued... h.Decode and encode frequently confused homophones accurately using knowledge of English and meaning to facilitate learning. Examples: hear/her e; night/knight; tacks/tax i.Decode and encode words with hard and soft c and g . j.Decode and encode grade-appropriate high frequency words that follow regular and irregular phoneme-grapheme correspondences, using knowledge of the specific sound-symbol correspondences that are irregular . READING LISTENING WRITING SPEAKING Fluency 9.Apply previously-taught phoneme-grapheme correspondences to multisyllabic words with accuracy and automaticity , in and out of context. 10.Read and reread grade-appropriate text accurately , automatically , and with meaningful expression at a rate which supports comprehension. 11.Read and reread grade-appropriate poetry , practicing phrasing, rhythm, rhyme, and meaningful expression. 12.Read high-frequency words commonly found in grade-appropriate text accurately and automatically . Note: High-fr equency words should be taught with the main emphasis of the lesson being on regular correspondences and patterns within the word. The student should be able to read the word accurately three times in a row on differ ent days to be consider ed accurate enough to add to a personal word box, word ring, or fluency folder . Avoid teaching high-fr equency words as “sight words” that need to be memorized as a whole word, unless there are no regular correspondences in the word. “Of” is an example of a word with no regular correspondences. READING",358
Page 71,"Grade 3 2021 Alabama Course of Study: English Language Arts 60 LISTENING WRITING SPEAKING Vocabulary 13.Utilize new academic, content-specific, grade-level vocabulary to make connections to previously learned words and relate new words to background knowledge. a.Make connections to a word’ s structure using knowledge of phonology , morphology , and orthography of the word to aid learning. 14.Describe word relationships and nuances in word meanings, including relating them to their opposites and distinguishing shades of meaning in similar or related words, including nouns, verbs, and adjectives. a.Determine meaning of words using synonyms in context. b.Determine meaning of words using antonyms as a clue. c.Describe the similarities and differences between related words. d.Use knowledge of homophones to determine appropriate use of words. e.Interpret figurative language. f.Identify relationships and nuances in word meanings to determine real-life connections between words and their use. Examples: Discuss relationships in words related to home (house, residence, habitat) and give reasons for choosing a particular word in speaking or writing. Distinguish shades of meaning in words related to bad (terrible, awful, horrible) and give reasons for choosing a particular word in speaking or writing. Distinguish shades of meaning in words related to talk (yell, scream, bellow) and give reasons for choosing a particular word in speaking or writing.",309
Page 72,"Grade 3 2021 Alabama Course of Study: English Language Arts 61 15.Analyze meaningful parts (morphemes) of words and phrases in discussions and/or text. a.Identify meaningful parts of words (morphemes) and use them as clues to the meaning of unfamiliar words, including base words, roots, and frequently occurring affixes and inflections. Examples: affixes -less, -ful, pro-, trans - ; roots aqua, cent, port, form, ject, spect, dict, tend, fer b.Apply knowledge of the changes in tense (- ed ), number (- s ), and degree (- er and - est ) signified by inflected endings to determine the meaning of a word. c.Identify common and derivational prefixes and suffixes and use them as clues to a word’ s meaning. Examples: pre-, re-, mis-; -ly, -less, -ful, -able, -ment d.Identify common Latin and Greek roots and use them to determine the meaning of unfamiliar words. e.Sort words with shared and varied suffixes by parts of speech. READING 16.Use knowledge of grade-level academic and domain-specific vocabulary to gain meaning from text. LISTENING WRITING 17.Use grade-level academic and domain-specific vocabulary in writing. SPEAKING Comprehension 18.Demonstrate content knowledge built during independent reading of informational and literary texts by participating in content-specific discussions with peers and/or through writing. 19.Determine the explicit or implied main idea and supporting details of a text. a.Explain how supporting details contribute to the main idea, using textual evidence. b.Recount or summarize the key ideas from the text. 20.Establish a purpose before reading literary and informational texts to enhance comprehension, including identifying background knowledge and generating questions about the topic or characters. Examples: reading for pleasur e, application, or information; to identify a theme or an author ’s purpose",419
Page 73,"Grade 3 2021 Alabama Course of Study: English Language Arts 62 READING 21.Identify and interpret various cohesive devices that link words and sentences to one another within the text. Examples: pronoun references, conjunctions, word substitution using synonyms Note: Working with cohesive devices is a scaffold to building compr ehension at both sentence and paragraph levels. 22.Describe literary elements within a story , including setting, plot, characters, and themes. a.Describe in detail the characters’ behavior , emotions, and traits and explain how their actions influence events in the story . b.Explain how the characters’ actions and dialogue contribute to the meaning of the story . c.Identify the central message, theme, or moral in a story , including myths, fables, and folktales, and explain the meaning conveyed in the passage. d.Compare and contrast the themes, settings, and plots from two texts. 23.Identify and use text features in informational passages to locate information. Examples: headings, photographs, illustrations, labels, charts, graphs, legends a.Explain how text features support details in the text. b.Explain how illustrations contribute to meaning in a story . c.Interpret text features used in written and digital formats. 24.Identify the text structures within literary and informational texts. a.Explain how the structures, including comparison and contrast, sequence of events, problem and solution, and cause and effect, contribute to the meaning of the text, using textual evidence. 25. Identify statements in informational texts as facts or opinions. a.Use prior knowledge and/or details from the text to distinguish fact from opinion. b.Use information gathered from research to evaluate opinions. 26.Use text comparisons (text to text, text to self, and text to world) to make meaning. a.Use prior knowledge to determine similarities between texts they are reading and texts they have previously read. b.Compare different versions of the same story .",410
Page 74,"Grade 3 2021 Alabama Course of Study: English Language Arts 63 27.Read prose, poetry , and dramas, identifying the literary devices used by the author to convey meaning. Examples: personification, imagery , alliteration, onomatopoeia, symbolism, metaphor , simile 28.Identify the narration of a literary text as first person or third person. LISTENING 29.Determine the main idea of a text read aloud or information presented in an audible format. WRITING 30.Manipulate words and/or phrases to create compound sentences, including coordinating conjunctions for, and, nor, but, or, yet, or so , and complex sentences to help build syntactic awareness and comprehension at the sentence level. SPEAKING Writing 31.Write legibly in cursive with connected, correctly-formed letters and appropriate spacing between words. 32.Apply knowledge of grade-appropriate phoneme-grapheme correspondences, multisyllabic word construction, syllable division rules, and spelling rules (or generalizations) to encode words accurately . a.Apply knowledge of multisyllabic word construction and syllable division principles to encode multisyllabic words. Examples: VC/CV , V/CV , VC/V , CV/VC; com-mit-ment, e-vent, ev-er -y, po-et b.Encode multisyllabic words, using common syllable patterns: open/closed, vowel-r , vowel-consonant-e, vowel teams, consonant-le, and odd or schwa syllables. c.Encode words with two and three letter blends and previously taught digraphs, trigraphs, combinations, diphthongs, quadrigraph eigh , vowel y , hard and soft c and g , silent letter combinations, and contractions. d.Encode words with less common prefixes, suffixes, and common Latin roots. Examples: prefixes: fore-, pro-, intra-, inter-, trans-, non-, over-, sub-, super -, semi-, anti-, mid-, ex-, post- suffixes: -y, -ly, -ful, -ment, -hood, -less, -ness, -er, -or, -en Latin roots: port, form, ject, spect, dict, tend, fer e.Encode frequently confused homophones accurately , using context to determine correct spelling. Examples: hear/her e; night/knight; tacks/tax",526
Page 75,"Grade 3 2021 Alabama Course of Study: English Language Arts 64 READING LISTENING WRITING 33.Write personal or fictional narratives with a logical plot (sequence of events), characters, transitions, and a sense of closure. 34.Write informative or explanatory texts about a topic using sources, including an introduction, facts, relevant details with elaboration, and a conclusion. 35.Write an argument to convince the reader to take an action or adopt a position, using an introduction, logical reasoning supported by evidence from various sources, and a conclusion. 36.Demonstrate knowledge of the rules of standard English grammar including punctuation, capitalization, sentence formation, and spelling appropriate for third grade. a.Use articles a, an, and the correctly . b.Identify the role of a noun, verb, adjective, adverb, pronoun, preposition, and conjunction within a sentence and explain the type of the information it conveys. c.Form plural nouns, verbs, and possessives, including irregular plural nouns and verbs. d.Use simple abbreviations, including days of the week, months of the year, titles, units of metric and customary measurement, street names, and state names. 37.Compose simple, compound, and complex sentences with correct subject-verb agreement. a.Identify and correct sentence fragments and run-on sentences. b.Identify the subject and predicate of a sentence. 38.Compose and develop a well-or ganized paragraph with a topic sentence, details to support, and a concluding sentence. 39.Gather and evaluate information about a topic from a variety of sources, including digital sources, and utilize it to create a project, report, or presentation. a.Avoid plagiarism by using their own words and utilizing digital sources ethically .",370
Page 76,Grade 3 2021 Alabama Course of Study: English Language Arts 65 40.Use grade-level and domain-appropriate vocabulary in writing. a.Use specific vocabulary to develop a story . b.Use specific vocabulary to explain or inform on a topic. 41.Use words and phrases in writing for effect and elaboration. a.Use transition words and phrases for sentence variety . 42.Write poetry or prose in response to visual images to interpret their meanings. SPEAKING,97
Page 77,"GRADES 4-5 OVERVIEW In Grades 4 and 5, students continue to grow as readers, writers, listeners, and speakers. They are still concrete learners, but they are beginning to delve into abstract thinking. Collaboration with peers and instructors is critical in these grades as students learn to develop ideas by drawing upon the insight of others. Literacy growth and development are fostered by direct, explicit reading instruction which is built on foundational literacy skills and on regular formative assessments. Inquiry- and discovery-based learning environments draw upon the natural curiosity of fourth and fifth grade students, encouraging their engagement, creating deeper understanding, and forging a more personal connection to what they read, write, speak, and hear. Although Foundational Literacy headings are not used in Grades 4 and 5, students continue to develop foundational skills, building on the alphabetic principle, comprehension and encoding, fluency , phonemic awareness, phonics, phonological awareness, and vocabulary foundations laid in Grades K-3 in accordance with the Alabama Literacy Act. In Grades 4 and 5, standards are elevated to ensure continuous student mastery appropriate for upper elementary proficient readers. Students extend learning from concrete ideas to abstract concepts. When students exhibit deficits in foundational skills, teachers should refer to the companion resources that will be published to support the course of study and to school and district RtI and intervention plans. Reading standards in Grades 4 and 5 continue to be a major component of receptive content instruction. Reading skills, developed with equal focus on fiction and informational text, allow students to comprehend relationships, author interpretations, events, procedures, ideas, and concepts across content areas. Instruction should provide opportunities for students to read widely and deeply from a broad range of high-quality , rigorous literary and informational texts in order to build the confidence and background knowledge needed for a solid reading foundation. Students can build this solid foundation when instruction is intentionally and coherently structured to develop rich content knowledge within and across grades. The writing process is integrated throughout the standards in Grades 4 and 5 as a major impetus to expressive learning. The Simple View of Writing (Berninger et al.) was a guiding factor in development of these standards. In order for students to become proficient writers, they must possess foundational writing skills to encode and organize words and composition skills to formulate and organize content. Students use the stages of the writing process to meet the challenging expectations of the standards by producing narrative, informative, and argumentative writings in response to many types of texts. These tasks become more demanding as rigor increases from fourth to fifth grade. Focusing on language and grammar skills during the writing process embeds language learning into 2021 Alabama Course of Study: English Language Arts 66",552
Page 78,"meaningful practice. The inclusion of keyboarding and handwriting techniques during writing enhances clear expression and production of work. Short research projects combine aspects of reading and writing to produce comprehensive, abstract work. Conventions of standard English (including relative pronouns, verb forms, prepositional phrases, and appropriate capitalization and punctuation) and general academic and domain-specific vocabulary continue to be critical components in language development that students apply to reading, speaking, and listening as well as to writing. Listening and speaking skills enhance learning for both reception and expression for students in Grades 4 and 5. Through discussion, collaboration, and reporting, students learn to be productive participants in conversations that require them to compare, contrast, analyze, and synthesize a multitude of ideas in various domains. Technology is used to enhance and expand both reception and expression, allowing students to transcend traditional learning environments by accessing and communicating information virtually . When “including” appears in content standards, it should be construed as “including but not limited to.” The items listed must be taught; others may also be included in instruction. Examples represent options that might prove useful in instruction of the standard. They are not intended to be exhaustive lists and the suggestions listed do not have to be taught. Grades 4-5 Recurring Standards for English Language Arts, listed at the beginning of each grade level, are to be fully included in instruction. 2021 Alabama Course of Study: English Language Arts 67",297
Page 79,"Grade 4 GRADE 4 In Grade 4, the Literacy Foundation headings Oral Language, Phonological Awareness, and Phonemic Awareness are no longer listed with Content Areas as the focus changes from oral language to written responses to literature, which require increased academic vocabulary and technical skills. While students still ask and answer questions about literary and informational texts, they increasingly perform these tasks mentally (“thinking about their thinking”) and usually write their responses instead of expressing them aloud. Students who still struggle with oral language, phonological awareness, and phonemic awareness should receive intervention and/or individualized instruction to close those gaps and to develop the expertise needed for reading and interpreting more complex literary works. The focus areas Reception and Expression are now listed alongside the categories of Reading, Listening, Writing, and Speaking, indicating the alignment of each area with the categories’ primary goals: reception of ideas with the Reading and Listening categories, and expression of ideas with the Writing and Listening categories. Content areas may not have a standard in every category . In such cases, the category remains blank with the row shaded to indicate that the omission was intentional. The Grades 4-5 Recurring Standards for English Language Arts, shown in the chart below , are an important part of every grade level. Through these standards, students learn and practice active listening, utilize context to decipher word meanings, learn and practice essential digital skills, become adept at finding and understanding literary devices, determine the formality of different situations in order to respond appropriately , and utilize a process to create and modify written work. The recurring standards are to be incorporated throughout the grade level. RECURRING STANDARDS FOR GRADES 4-5 2021 Alabama Course of Study: English Language Arts 68 Students will: R1. Utilize active listening skills during discussion and conversation in pairs, small groups, or whole-class settings, following agreed-upon rules for participation. R2. Use context clues to determine meanings of unfamiliar spoken or written words.",411
Page 80,"Grade 4 GRADE 4 CONTENT STANDARDS Each content standard completes the stem “ Students will…” 2021 Alabama Course of Study: English Language Arts 69 R3. Use digital and electronic tools appropriately , safely , and ethically when researching and writing, both individually and collaboratively . R4. Utilize a writing process to plan, draft, revise, edit, and publish writings in various genres. R5. Identify and explain literary devices in prose and poetry . R6. Assess the formality of occasions in order to speak or write using appropriate language and tone. LITERACY FOUNDA TIONS Phonics 1.Apply knowledge of grade-appropriate phoneme-grapheme correspondences, syllable types, and morphological structure to read unfamiliar multisyllabic words accurately , both in context and in isolation. RECEPTION READING 2.Determine and use the correct syllable type(s) to decode unfamiliar multisyllabic words, including open, closed, vowel-consonant-e, r-controlled, vowel team (including diphthongs), consonant-le, and “leftovers” including odd and schwa syllables. Examples: dam-age, ac-tive, na-tion 3.Apply knowledge of roots, prefixes, and suffixes to decode unfamiliar multisyllabic words. LISTENING EXPRESSION WRITING 4.Apply knowledge of roots, prefixes, and suffixes to encode unfamiliar multisyllabic words.",323
Page 81,"Grade 4 2021 Alabama Course of Study: English Language Arts 70 SPEAKING Fluency 5.Demonstrate fluency when reading grade-level text and when responding through writing or speaking. RECEPTION READING 6.Read grade-level text orally with appropriate pauses, phrasing, stress, intonation, rate, and integration to support comprehension. 7.Read words with irregular and regular spelling patterns accurately and automatically . LISTENING EXPRESSION WRITING 8.Write routinely and independently in response to text. SPEAKING Vocabulary 9.Accurately i nterpret general academic and domain-specific words and phrases. RECEPTION READING 10.Interpret words and phrases, including figurative language, as they are used in a text. a.Explain how specific word choices shape meaning or tone. b.Explain how figurative language contributes to the meaning of text, including simile, metaphor , alliteration, personification, hyperbole, and idioms. c.Use the relationships between synonyms, antonyms, and homographs to increase understanding of word meanings. LISTENING",234
Page 82,"Grade 4 2021 Alabama Course of Study: English Language Arts 71 EXPRESSION WRITING 11.Use commonly misused words correctly in writing. Examples: accept/except; effect/affect; racket/racquet; its/it’ s; your/you’r e; our/ar e; quiet/quit/quite SPEAKING 12.Consult reference materials to find the pronunciation of unknown words and phrases. 13.Use grade-appropriate general academic and domain-specific words and phrases in presentations and discussions. Comprehension 14.Demonstrate comprehension of literary and informational text by utilizing its content when discussing or writing in response to the text. RECEPTION READING 15.Analyze in depth a character , setting, or event in a story or drama, drawing on specific details in the text. a.Identify and explain attitudes and influences of multiple characters within a text. b.Explain how the main character changes throughout the story , using explicit evidence from the text. c.Make an inference about a character's behavior , the setting, and/or specific events, using explicit details from the story . 16.Describe how authors use literary devices and text features to convey meaning in prose, poetry , and drama. a.Identify clues in the text to recognize implicit meanings. b.Apply prior knowledge to textual clues to draw conclusions about the author ’s meaning. c.Make an inference about the meaning of a text and support it with textual evidence.",308
Page 83,"Grade 4 2021 Alabama Course of Study: English Language Arts 72 17.Identify the narrator's point of view in a literary text and explain how it differs from a character's perspective. a.Explain the difference between first person and third person narration, including omniscient and third person limited. b.State an opinion of the author's use of narration, supporting reasoning with examples from the text. 18.Identify the point of view in a narrative and describe how the narrative would be different if told from the perspective of a different character or narrator . a.Compare and contrast firsthand and secondhand accounts of the same event or topic, describing the differences in focus and the information provided. b.Compare the perspectives of different characters within a text. 19.Compare and contrast the treatment of similar themes in stories, myths, and traditional literature from different cultures. a.Determine and state an implied theme, explicit theme, or life lesson from a myth, story , or other traditional literature . b.Analyze a common or shared theme and its development in stories, myths, and/or other traditional literature. 20.Use details and examples from a text to indicate what the text explicitly states. a.Interpret facts from an informational article, using details and examples from the text to explain the interpretation. b.List the main questions answered by an informational article. c.Categorize statements in an article or other informational text as fact or opinion and give reasons for each choice. d.Explain the differences between primary and secondary sources, giving examples from texts.",321
Page 84,"Grade 4 2021 Alabama Course of Study: English Language Arts 73 21.Explain how relevant details support the implied or explicit main idea of a text. a.Determine the central idea or theme of a text. b.Explain the difference between implied and explicit details. c.Summarize the key supporting details by citing evidence from a text. 22.Analyze events, procedures, ideas, or concepts in informational texts, including what happened and why, based on specific information in the text. a.Cite evidence to explain the author's perspective toward a topic in an informational text. 23.Evaluate how text features and structures contribute to the meaning of an informational text. a.Identify and describe the structures within a text, including description, comparison and contrast, sequence, problem and solution, and cause and effect. b.Interpret information from text features in both print and digital formats. 24.Explain how an author uses reasons and evidence to support particular points and claims in an informational text or argument. a.Make text-based inferences to determine possible reasons for an author's stance. 25.Explain how the form of a poem contributes to its meaning. 26.Analyze how rhythm and rhyme in poetry contribute to meaning. LISTENING 27.Identify the reasons and evidence a speaker provides to support particular points. EXPRESSION WRITING 28.Write clear and coherent responses to texts, using explicit or implicit evidence that supports a particular point. SPEAKING 29.Add audio recordings to presentations, when appropriate, to enhance the development of main ideas or themes.",331
Page 85,"Grade 4 2021 Alabama Course of Study: English Language Arts 74 30.Synthesize information on a topic in order to write or speak knowledgeably about the subject. a.Make complex inferences within and across texts to determine the importance of information. b.Use evidence to explain information across texts including different perspectives and/or points of view . 31.Orally paraphrase portions of a text or information presented in diverse media when collaborating and/or presenting. Writing 32.Respond in writing to literature and informational text, including stories, dramas, poetry , and cross-curricular texts, both independently and with support, demonstrating grade-level proficiency . RECEPTION READING 33.Use research to produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. a.Introduce a research topic clearly and group related ideas. b.Integrate and cite evidence to present research findings in written form. c.Paraphrase portions of texts or information presented in diverse media and formats. LISTENING EXPRESSION WRITING 34.Write fluently and legibly in cursive, using correctly formed letters with appropriate spacing. 35.Write personal or fictional narratives using a logical plot, transitional words and phrases, sensory details, and dialogue, and providing a sense of closure.",271
Page 86,"Grade 4 2021 Alabama Course of Study: English Language Arts 75 36.Write informative or explanatory text about a topic using sources, incorporating academic vocabulary , and including an introduction, facts, details with elaboration, and a conclusion. 37.Write an argument to persuade the reader to take an action or adopt a position, using an introduction, logical reasoning supported by evidence from relevant sources, and linking words to connect their argument to the evidence. 38.Compose complete sentences with correct subject-verb agreement, punctuation, and usage. a.Order adjectives within sentences according to conventional patterns. Example: a small red bag rather than a red small bag b.Form and use prepositional phrases and conjunctions. c.Recognize and correct sentence fragments and run-on sentences. d.Use commas, apostrophes, and quotation marks correctly . e.Use correct capitalization, including familial relations and proper adjectives. f.Spell grade-appropriate words correctly , consulting references as needed. 39.Demonstrate command of the conventions of standard English grammar and usage. a.Use relative pronouns who, whose, which, and that , relative adverbs wher e, when, and how, and irregular possessive nouns. b.Form and use the progressive verb tenses. Examples: I was walking, I am walking c.Use modal auxiliaries to convey various conditions. Examples: can, may, must 40.Compose friendly and formal letters using appropriate elements, including date, greeting, body , and a signature. a.Write return address and mailing address in the proper locations on an envelope. SPEAKING 41.Present an opinion orally , sequencing ideas logically and using relevant facts. a.Express appropriate and meaningful responses to questions posed by others.",364
Page 87,"Grade 4 2021 Alabama Course of Study: English Language Arts 76 42.Report on a topic or text, tell a story , or recount an experience in an organized manner , using appropriate facts and relevant, descriptive details to support main ideas or themes, and speaking clearly with adequate volume, appropriate pacing, and clear pronunciation. a.Articulate ideas, claims, and perspectives in a logical sequence, presenting information, findings, and credible evidence from multiple sources and modalities to enhance listeners’ understanding.",104
Page 88,"Grade 5 GRADE 5 In Grade 5, standards continue to lay the literacy foundations needed for mental inquiry , creating a bridge between learning to read and reading to learn. This transition emphasizes the development of literary analysis skills needed to derive written responses from diverse texts, as well as the importance of listening and speaking in response to information presented by others. As in Grade 4, the oral language, phonemic awareness, and phonological awareness headings are no longer listed. Students who still struggle with oral language, phonological awareness, and phonemic awareness should receive intervention and/or individualized instruction to close those gaps and to develop the expertise needed for reading and interpreting more complex literary works. Within the Literacy Foundations umbrella, the focus areas of Reception and Expression continue to align with the categories of Reading, Listening, Writing, and Speaking. Content areas may not have a standard in every category . In such cases, the category remains blank with the row shaded to indicate that the omission was intentional. The Grades 4-5 Recurring Standards for English Language Arts, shown in the chart below , are an important part of every grade level. Through these standards, students learn and practice active listening, utilize context to decipher word meanings, learn and practice essential digital skills, become adept at finding and understanding literary devices, determine the formality of different situations in order to respond appropriately , and utilize a process to create and modify written work. The recurring standards are to be incorporated throughout the grade level. RECURRING STANDARDS FOR GRADES 4-5 2021 Alabama Course of Study: English Language Arts 77 Students will: R1. Utilize active listening skills during discussion and conversation in pairs, small groups, or whole-class settings, following agreed-upon rules for participation. R2. Use context clues to determine meanings of unfamiliar spoken or written words. R3. Use digital and electronic tools appropriately , safely , and ethically when researching and writing, both individually and collaboratively . R4. Utilize a writing process to plan, draft, revise, edit, and publish writings in various genres.",429
Page 89,"Grade 5 GRADE 5 CONTENT STANDARDS Each content standard completes the stem “ Students will…” 2021 Alabama Course of Study: English Language Arts 78 R5. Identify and explain literary devices in prose and poetry . R6. Assess the formality of occasions in order to speak or write using appropriate language and tone. LITERACY FOUNDA TIONS Phonics 1.Apply phonics and word analysis skills to encode and decode words in grade-level texts. RECEPTION READING 2.Use combined knowledge of letter -sound correspondences, appropriate blending, syllabication patterns, morphology , and word attack skills to read unfamiliar multisyllabic, grade-level words accurately in context and in isolation. 3.Determine or clarify the meaning of unknown and multiple-meaning words and phrases, choosing flexibly from a range of strategies. LISTENING EXPRESSION WRITING 4.Write familiar and unfamiliar multisyllabic, grade-level appropriate words accurately in context and in isolation. SPEAKING",218
Page 90,"Grade 5 2021 Alabama Course of Study: English Language Arts 79 Fluency 5.Demonstrate fluency when independently reading, writing, and speaking in response to grade-level literary and informational text, including stories, dramas, poetry , and cross-curricular texts. RECEPTION READING 6.Read grade-level text orally with accuracy , automaticity , appropriate prosody or expression, purpose, and understanding, self-correcting and rereading as necessary . LISTENING EXPRESSION WRITING 7.Write routinely and independently for varied amounts of time. SPEAKING 8.Orally present information and original ideas clearly . 9.Express ideas clearly and effectively to diverse partners or groups. a.Pose and respond to explicit questions in ways that contribute to the discussion and elaborate on the remarks of others. b.Verbally summarize information read aloud or presented in diverse media and formats. c.Report orally on a topic or text, sequencing ideas logically and supporting main ideas with appropriate facts and relevant details. d.Speak clearly at an understandable rate. 10.Respond directly to specific information shared by others in classroom discussion, using facts to support the ideas being discussed. a.Review the key ideas expressed and draw conclusions in light of information and knowledge gained from discussion.",264
Page 91,"Grade 5 2021 Alabama Course of Study: English Language Arts 80 Vocabulary 11.Acquire and use grade-level vocabulary , clarifying the meaning of unknown and multiple-meaning words and phrases in text, choosing flexibly from a range of strategies. RECEPTION READING 12.Interpret the meaning of words, phrases, and patterns as they are used in texts, including domain-specific and academic vocabulary and figurative language. a.Locate similes, metaphors, personification, hyperbole, imagery , alliteration, onomatopoeia, and idioms and interpret their meanings in context. b.Explain the meanings of common idioms, adages, and proverbs. c.Use the relationships between synonyms, antonyms, and homographs to increase understanding of word meanings. d.Explain how an author ’s vocabulary and style influence the tone and mood of a text and support his/her purpose for writing. e.Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meanings of words. LISTENING 13.Determine or clarify the meaning of unknown and multiple-meaning words and phrases. EXPRESSION WRITING 14.Write using grade-appropriate general academic and domain-specific words and phrases accurately , including those that signal contrasting ideas, additional information, and other logical relationships. SPEAKING 15.Use grade-appropriate general academic and domain-specific words and phrases during presentations and discussion.",309
Page 92,"Grade 5 2021 Alabama Course of Study: English Language Arts 81 Comprehension 16.Demonstrate comprehension of varied literary and informational texts by utilizing its content when discussing or writing in response to the text. 17.Demonstrate comprehension of text by asking and responding to questions about literary elements used in the text. Examples: theme, plot, point of view RECEPTION READING 18.Explain the relationships among events, people, or concepts in informational texts, supported by textual evidence. 19.Interpret how authors use literary elements throughout a text, including character , setting, conflict, dialogue, and point of view . 20.Explain how the author's use of character types throughout a narrative helps drive its plot. Examples: static, dynamic, and stock characters 21.Compare and contrast characters, points of view , or events in two or more literary texts. 22.Determine the implied and/or explicit main idea in literary and informational texts. 23.Determine and analyze themes of various culturally-diverse literary texts, supporting analysis with textual evidence. a.Analyze common themes of diverse texts with support from textual evidence. b.Summarize a story or drama, describing how the plot unfolds and how characters respond to challenges or change their thoughts and actions and citing textual evidence. 24.Determine and evaluate the effectiveness of digital and print text features and structures, including comparison and contrast, problem and solution, and cause and effect. a.Identify various text features used in diverse forms of text. b.Compare and contrast the overall structure of events, ideas, concepts, or information in multiple texts.",333
Page 93,"Grade 5 2021 Alabama Course of Study: English Language Arts 82 25.Determine credibility and appropriateness of a research source by distinguishing between fact and the author ’s opinion in informational text. 26.Analyze how two or more texts address similar topics in diverse media and formats, including graphics, live and/or recorded performances, and written works. a.Explain how visual and multimedia elements contribute to the overall meaning and tone of a text. b.Compare and contrast the approaches to theme in several stories within a genre. c.Locate information quickly within a text and apply information from multiple sources to analysis of the topics. d.Explain how an author uses reasons and evidence to support particular points in a text. e.Compare the approaches of several authors of articles about the same or similar topics. 27.Review the key ideas expressed in a text and draw conclusions, using facts to support them. LISTENING 28.Use audio and/or visual sources of information to obtain the answer to a question. EXPRESSION WRITING 29.Summarize in writing a variety of texts, stating their implied and/or explicit main ideas. a.Use textual evidence to support summarization. b.Cite appropriately when summarizing. 30.Quote literary and informational texts accurately to support conclusions and inferences drawn from them. SPEAKING 31.Include multimedia components and visual displays in presentations to enhance the development of main ideas or themes when appropriate. Examples: graphics, sounds",308
Page 94,"Grade 5 2021 Alabama Course of Study: English Language Arts 83 Writing 32.Respond in writing to literature and informational text, including stories, dramas, poetry , and cross-curricular texts, independently and with grade-level proficiency . RECEPTION READING LISTENING EXPRESSION WRITING 33.Write fluently and legibly in cursive, using correctly formed letters with appropriate spacing and placing text elements correctly on the page. Examples: headings, titles, paragraph indentions 34.Write personal or fictional narratives incorporating literary elements (characters, plot, setting, conflict), dialogue, strong voice, and clear event sequences. 35.Write informative or explanatory texts using multiple sources to examine a topic, conveying ideas and information clearly and incorporating a strong organizational structure, relevant details, and elaboration. 36.Write an argument to persuade the reader to take an action or adopt a position, stating a claim, supporting the claim with relevant evidence from sources, using connectives to link ideas, and presenting a strong conclusion. Examples: first, as a result, therefore, in addition 37.Write about research findings independently over short and/or extended periods of time. 38.Gather information on a topic or question, and share the results through various modes of writing, including projects and presentations. a.Locate information in print and digital sources. b.Summarize, quote, and paraphrase information in notes and finished work, providing a list of sources. c.Integrate information from several texts on the same topic into presentations of research.",319
